id,web_name,club,pos,price,own
470,Morato,NFO,DEF,5.0,0.1
471,Milenković,NFO,DEF,5.5,2.2
472,Murillo,NFO,DEF,5.5,0.2
473,Aina,NFO,DEF,4.5,4.8
474,Jair Cunha,NFO,DEF,4.5,0.5
475,Savona,NFO,DEF,4.5,0.0
476,O.Richards,NFO,DEF,4.0,0.2
477,Abbott,NFO,DEF,4.0,0.2
478,Netz,NFO,DEF,4.5,0.0
479,Bindon,NFO,DEF,4.0,0.2
480,Gibbs-White,NFO,MID,8.0,11.8
482,Hudson-Odoi,NFO,MID,6.0,0.0
483,Ndoye,NFO,MID,5.5,0.6
484,Hutchinson,NFO,MID,5.5,0.1
485,Bakwa,NFO,MID,5.5,0.0
486,McAtee,NFO,MID,5.5,0.1
487,Dominguez,NFO,MID,5.0,0.1
488,Sangaré,NFO,MID,5.0,0.5
489,Yates,NFO,MID,4.5,7.4
490,Wood,NFO,FWD,6.0,1.8
491,Igor Jesus,NFO,FWD,6.0,4.9
492,Awoniyi,NFO,FWD,5.5,0.4
493,Kalimuendo,NFO,FWD,5.5,0.1
558,Schlager,NFO,MID,5.0,0.1
112,Van Hecke,TOT,DEF,5.0,8.2
455,Tonali,TOT,MID,5.5,3.9
494,Vicario,TOT,GKP,4.5,1.5
495,Austin,TOT,GKP,4.0,0.6
496,Kinsky,TOT,GKP,4.5,18.7
497,Dubravka,TOT,GKP,4.0,24.6
498,Senesi,TOT,DEF,6.0,10.9
499,Pedro Porro,TOT,DEF,5.5,23.9
500,Romero,TOT,DEF,5.0,1.1
501,Danso,TOT,DEF,5.0,0.2
502,Robertson,TOT,DEF,4.5,1.8
503,Van de Ven,TOT,DEF,5.0,6.4
505,Spence,TOT,DEF,4.5,9.6
506,Udogie,TOT,DEF,4.5,0.4
507,Phillips,TOT,DEF,4.5,0.1
508,Davies,TOT,DEF,4.0,0.8
509,Byfield,TOT,DEF,4.0,0.1
510,Rowswell,TOT,DEF,4.0,0.1
511,Souza,TOT,DEF,4.0,0.3
512,Kudus,TOT,MID,6.5,0.2
513,Xavi,TOT,MID,6.0,0.0
514,Tel,TOT,MID,6.0,0.4
515,Maddison,TOT,MID,6.5,2.1
516,Bentancur,TOT,MID,5.5,0.1
517,Odobert,TOT,MID,5.5,0.0
518,P.M.Sarr,TOT,MID,5.0,0.4
519,Gallagher,TOT,MID,5.5,0.2
520,Bergvall,TOT,MID,5.5,0.2
521,Kulusevski,TOT,MID,6.5,0.0
522,Gray,TOT,MID,5.0,0.2
523,Moore,TOT,MID,5.0,0.1
524,Olusesi,TOT,MID,4.5,0.9
525,Fernandes,TOT,MID,6.0,3.7
526,Solanke,TOT,FWD,6.0,2.6
527,Richarlison,TOT,FWD,6.0,1.9
528,Scarlett,TOT,FWD,4.5,1.7
529,Roefs,SUN,GKP,5.0,5.3
530,Patterson,SUN,GKP,4.0,1.1
531,Ellborg,SUN,GKP,4.5,0.1
532,Ballard,SUN,DEF,5.0,3.4
533,Mukiele,SUN,DEF,5.5,7.7
534,Hume,SUN,DEF,4.5,2.0
535,Alderete,SUN,DEF,5.0,1.2
536,Reinildo,SUN,DEF,4.5,0.5
537,Seelt,SUN,DEF,4.5,0.0
538,Hjelde,SUN,DEF,4.0,0.3
539,O'Nien,SUN,DEF,4.0,2.3
540,Masuaku,SUN,DEF,4.0,1.4
541,Meunier,SUN,DEF,4.5,0.5
542,E.Le Fée,SUN,MID,6.0,12.3
543,Diarra,SUN,MID,5.5,0.1
544,Xhaka,SUN,MID,5.5,6.0
545,Sadiki,SUN,MID,5.0,0.4
546,Adingra,SUN,MID,5.0,0.3
547,Mundle,SUN,MID,5.0,0.0
548,Rigg,SUN,MID,5.0,0.1
549,Talbi,SUN,MID,5.5,0.2
550,Jocelin.T,SUN,MID,5.0,0.0
551,Angulo,SUN,MID,5.0,0.1
552,Brobbey,SUN,FWD,6.0,20.8
553,Isidor,SUN,FWD,5.5,1.2
